rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,2605,126,56,4,"[1;2;3;5]",126,126
1,2591,82,70,2,"[0;2]",82,82
2,2585,102,56,3,"[0;1;3]",103,102
3,2578,117,62,4,"[0;2;5;6]",116,117
4,2678,50,80,1,"[5]",50,50
5,2604,190,28,5,"[0;3;4;6;7]",191,190
6,2592,110,64,3,"[3;5;7]",109,110
7,2583,96,68,2,"[5;6]",96,96
