rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,22355304780883,635655159918,133,2,"[1;3]",110,110
1,22333829944408,541165879402,102,3,"[0;2;3]",148,148
2,0,0,135,2,"[1;3]",106,106
3,0,0,114,3,"[0;1;2]",126,126
