rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,1266,103,20,7,"1 2 3 4 5 6 7",101,103
1,1265,106,38,4,"0 2 3 7",104,106
2,1281,107,33,3,"0 1 3",109,107
3,1276,129,29,5,"0 1 2 6 7",127,129
4,1282,101,0,3,"0 5 7",101,101
5,1277,105,0,4,"0 4 6 7",107,105
6,1273,119,0,4,"0 3 5 7",120,119
7,1265,118,0,6,"0 1 3 4 5 6",119,118
