rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,144,29,30,2,1 2,29,29
1,144,22,32,2,0 2,22,22
2,144,22,38,2,0 1,22,22
3,144,30,35,2,0 1,30,30
