rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,5214,114,119,3,"1 2 3",115,114
1,5189,104,129,2,"0 3",103,104
2,5207,111,125,2,"0 3",110,111
3,5206,143,111,3,"0 1 2",144,143
