rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,2671,53,80,3,[],[],[]
1,2604,156,41,5,[],[],[]
2,2571,106,57,3,[],[],[]
3,2598,95,67,2,[],[],[]
4,2634,119,50,4,[],[],[]
5,2633,88,77,3,[],[],[]
6,2567,158,39,6,[],[],[]
7,2538,82,73,2,[],[],[]
