step,physical_time,inner_iterations,inner_residual_ratio,converged,initial_inner_residual,final_inner_residual
1003,10.03,34,9.640641161e-05,1,4.185599208e-05,4.035186001e-09
1004,10.04,34,9.629934291e-05,1,4.182923831e-05,4.028128164e-09
1005,10.05,34,9.619236236e-05,1,4.180256107e-05,4.021087102e-09
1006,10.06,34,9.608547636e-05,1,4.17759601e-05,4.014063027e-09
1007,10.07,34,9.597869971e-05,1,4.174943527e-05,4.007056511e-09
1008,10.08,34,9.587203457e-05,1,4.172298641e-05,4.000067595e-09
1009,10.09,34,9.576548579e-05,1,4.169661343e-05,3.993096441e-09
1010,10.1,34,9.565905759e-05,1,4.167031643e-05,3.986143199e-09
1011,10.11,34,9.555275601e-05,1,4.164409561e-05,3.979208107e-09
1012,10.12,34,9.544658215e-05,1,4.161795053e-05,3.972291134e-09
1013,10.13,34,9.534053824e-05,1,4.159188108e-05,3.965392328e-09
1014,10.14,34,9.52346206e-05,1,4.156588722e-05,3.9585115e-09
1015,10.15,34,9.512882865e-05,1,4.153996887e-05,3.951648581e-09
1016,10.16,34,9.502316111e-05,1,4.151412588e-05,3.944803472e-09
1017,10.17,34,9.491762157e-05,1,4.148835811e-05,3.937976274e-09
1018,10.18,34,9.481220786e-05,1,4.146266616e-05,3.931166922e-09
1019,10.19,33,9.990538718e-05,1,4.143705338e-05,4.139784862e-09
1020,10.2,33,9.994130726e-05,1,4.141151622e-05,4.138721067e-09
1021,10.21,33,9.999162644e-05,1,4.138605505e-05,4.138258956e-09
1022,10.22,33,9.999226548e-05,1,4.136066855e-05,4.135746951e-09
1023,10.23,33,9.995921674e-05,1,4.133535975e-05,4.131850184e-09
1024,10.24,33,9.990518035e-05,1,4.131012805e-05,4.127095793e-09
1025,10.25,33,9.983778214e-05,1,4.128497097e-05,4.121799937e-09
1026,10.26,33,9.976149359e-05,1,4.125988856e-05,4.116148108e-09
1027,10.27,33,9.967903186e-05,1,4.123488035e-05,4.110252952e-09
1028,10.28,33,9.959211073e-05,1,4.120994615e-05,4.10418552e-09
1029,10.29,33,9.95018677e-05,1,4.118508594e-05,4.097992973e-09
1030,10.3,33,9.940908722e-05,1,4.116029964e-05,4.091707817e-09
1031,10.31,33,9.931433294e-05,1,4.113558727e-05,4.08535341e-09
1032,10.32,33,9.92179869e-05,1,4.111094759e-05,4.078945459e-09
1033,10.33,33,9.912036317e-05,1,4.1086381e-05,4.072497007e-09
1034,10.34,33,9.902170247e-05,1,4.106188811e-05,4.066018068e-09
