rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,5510443042039,575525617788,0,5,"[1;2;3;4;7]",126,124
1,5458903434488,455266533478,0,5,"[0;2;3;6;7]",136,134
2,5493263172855,425201762439,0,3,"[0;1;3]",100,102
3,5428838663418,493921239168,20,5,"[0;1;2;4;6]",107,106
4,0,0,0,5,"[0;3;5;6;7]",132,135
5,0,0,60,3,"[4;6;7]",103,99
6,0,0,0,5,"[1;3;4;5;7]",123,128
7,0,0,40,5,"[0;1;4;5;6]",116,115
