rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,1271,124,0,5,"[1;2;3;4;7]",126,124
1,1283,134,0,5,"[0;2;3;6;7]",136,134
2,1272,102,0,3,"[0;1;3]",100,102
3,1271,106,20,5,"[0;1;2;4;6]",107,106
4,1271,135,0,5,"[0;3;5;6;7]",132,135
5,1279,99,60,3,"[4;6;7]",103,99
6,1274,128,0,5,"[1;3;4;5;7]",123,128
7,1264,115,40,5,"[0;1;4;5;6]",116,115
