rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,1283,123,108,5,[],[],[]
1,1257,124,82,5,[],[],[]
2,1266,107,90,4,[],[],[]
3,1277,104,112,4,[],[],[]
4,1269,127,74,4,[],[],[]
5,1275,112,105,4,[],[],[]
6,1281,110,91,3,[],[],[]
7,1277,126,98,5,[],[],[]
