step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
103,3,3.51745026e-08,1,7.133540342e-07,0.2245862119
104,3,3.874000098e-08,1,7.138712716e-07,0.2248343577
105,3,4.211192845e-08,1,7.146225361e-07,0.2250827776
106,3,4.497931616e-08,1,7.154678344e-07,0.2253314721
107,3,4.699675759e-08,1,7.160568333e-07,0.2255804413
108,3,4.794156019e-08,1,7.165668907e-07,0.2258296856
109,3,4.7754235e-08,1,7.171058735e-07,0.2260792053
110,3,4.648298974e-08,1,7.176902512e-07,0.2263290007
111,3,4.426361308e-08,1,7.183139322e-07,0.2265790721
112,3,4.137137624e-08,1,7.189658089e-07,0.2268294198
113,3,3.80877626e-08,1,7.196368737e-07,0.2270800441
114,3,3.474221187e-08,1,7.20257173e-07,0.2273309453
115,3,3.161482388e-08,1,7.207685554e-07,0.2275821238
116,3,2.8935607e-08,1,7.212529958e-07,0.2278335798
117,3,2.699014352e-08,1,7.218116034e-07,0.2280853136
118,3,2.558516172e-08,1,7.222648264e-07,0.2283373255
119,3,2.476933047e-08,1,7.229892927e-07,0.2285896159
120,3,2.449640105e-08,1,7.237413934e-07,0.2288421851
121,3,2.466547939e-08,1,7.245279735e-07,0.2290950333
122,3,2.519055641e-08,1,7.253547871e-07,0.2293481609
123,3,2.609622788e-08,1,7.262241544e-07,0.2296015682
124,3,2.762627967e-08,1,7.271276841e-07,0.2298552554
125,3,2.987765483e-08,1,7.280589379e-07,0.230109223
126,3,3.260488521e-08,1,7.290213885e-07,0.2303634712
127,3,3.577057618e-08,1,7.300160442e-07,0.2306180003
128,3,3.928360683e-08,1,7.310422465e-07,0.2308728106
129,3,4.297661043e-08,1,7.320985275e-07,0.2311279024
130,3,4.659933657e-08,1,7.331637384e-07,0.2313832761
131,3,4.982934688e-08,1,7.342425046e-07,0.231638932
132,3,5.231861302e-08,1,7.353343494e-07,0.2318948704
133,3,5.388526751e-08,1,7.364536399e-07,0.2321510915
134,3,5.435196845e-08,1,7.375959718e-07,0.2324075958
135,3,5.365191445e-08,1,7.38764796e-07,0.2326643834
136,3,5.182999069e-08,1,7.399675812e-07,0.2329214548
137,3,4.911872181e-08,1,7.406777148e-07,0.2331788102
138,3,4.582718682e-08,1,7.413627207e-07,0.23343645
139,3,4.220541194e-08,1,7.420588689e-07,0.2336943744
140,3,3.868411862e-08,1,7.425736123e-07,0.2339525838
141,3,3.564487767e-08,1,7.431102104e-07,0.2342110785
142,3,3.325174549e-08,1,7.436740072e-07,0.2344698588
143,3,3.155105093e-08,1,7.442700607e-07,0.2347289251
144,3,3.046874065e-08,1,7.449037604e-07,0.2349882776
145,3,2.99937412e-08,1,7.45581159e-07,0.2352479166
146,3,3.007178868e-08,1,7.463063115e-07,0.2355078426
147,3,3.058527678e-08,1,7.470788684e-07,0.2357680557
148,3,3.149478112e-08,1,7.478986409e-07,0.2360285563
149,3,3.289683972e-08,1,7.487649667e-07,0.2362893448
150,3,3.519682643e-08,1,7.496769844e-07,0.2365504214
151,3,3.807476133e-08,1,7.506335483e-07,0.2368117864
152,3,4.145042841e-08,1,7.516327304e-07,0.2370734403
153,3,4.524459067e-08,1,7.52718388e-07,0.2373353832
154,3,4.924728178e-08,1,7.54092035e-07,0.2375976156
155,3,5.32445653e-08,1,7.547155764e-07,0.2378601377
156,3,5.683185912e-08,1,7.552466631e-07,0.2381229499
157,3,5.975444677e-08,1,7.558497732e-07,0.2383860524
158,3,6.170772021e-08,1,7.565396456e-07,0.2386494457
159,3,6.239752251e-08,1,7.573065519e-07,0.23891313
160,3,6.174023928e-08,1,7.581188477e-07,0.2391771056
161,3,5.978457626e-08,1,7.589780636e-07,0.2394413729
162,3,5.678220767e-08,1,7.59885937e-07,0.2397059322
163,3,5.298192442e-08,1,7.608374415e-07,0.2399707838
164,3,4.892465819e-08,1,7.618347865e-07,0.240235928
165,3,4.50864332e-08,1,7.628797376e-07,0.2405013652
166,3,4.172935818e-08,1,7.639719468e-07,0.2407670957
167,3,3.907782273e-08,1,7.651152424e-07,0.2410331198
168,3,3.731585238e-08,1,7.663126846e-07,0.2412994378
169,3,3.625688613e-08,1,7.675639248e-07,0.24156605
170,3,3.597080566e-08,1,7.688681482e-07,0.2418329569
171,3,3.620323605e-08,1,7.69958116e-07,0.2421001586
172,3,3.699226127e-08,1,7.706374752e-07,0.2423676556
173,3,3.822232281e-08,1,7.713526274e-07,0.2426354482
174,3,4.014088601e-08,1,7.721032745e-07,0.2429035366
175,3,4.302072048e-08,1,7.726307714e-07,0.2431719212
176,3,4.644127348e-08,1,7.731831391e-07,0.2434406024
177,3,5.033279753e-08,1,7.737805231e-07,0.2437095804
178,3,5.456526806e-08,1,7.744230739e-07,0.2439788557
179,3,5.879459367e-08,1,7.751108679e-07,0.2442484284
180,3,6.284070039e-08,1,7.758453173e-07,0.244518299
181,3,6.630064382e-08,1,7.766271584e-07,0.2447884678
182,3,6.885585908e-08,1,7.772229265e-07,0.2450589351
183,3,7.015675969e-08,1,7.775771508e-07,0.2453297013
184,3,6.995640949e-08,1,7.77954456e-07,0.2456007666
185,3,6.830193769e-08,1,7.784428979e-07,0.2458721314
186,3,6.53330406e-08,1,7.790023171e-07,0.2461437961
187,3,6.144147363e-08,1,7.79686861e-07,0.2464157609
188,3,5.698768243e-08,1,7.804389182e-07,0.2466880262
189,3,5.27398837e-08,1,7.812431373e-07,0.2469605923
190,3,4.894972269e-08,1,7.82091916e-07,0.2472334596
191,3,4.60097835e-08,1,7.829808489e-07,0.2475066284
192,3,4.404271089e-08,1,7.839132919e-07,0.247780099
193,3,4.289761937e-08,1,7.848908919e-07,0.2480538717
194,3,4.250958116e-08,1,7.859158985e-07,0.248327947
195,3,4.279937345e-08,1,7.869892426e-07,0.248602325
196,3,4.367189857e-08,1,7.881161002e-07,0.2488770063
197,3,4.502130733e-08,1,7.892974429e-07,0.249151991
198,3,4.712141783e-08,1,7.905207468e-07,0.2494272796
199,3,5.034121806e-08,1,7.91784003e-07,0.2497028723
200,3,5.417616923e-08,1,7.930947178e-07,0.2499787696
201,3,5.851096955e-08,1,7.944558824e-07,0.2502549716
202,3,6.316265628e-08,1,7.953474096e-07,0.2505314789
203,3,6.790133904e-08,1,7.96050282e-07,0.2508082917
204,3,7.236959031e-08,1,7.967913666e-07,0.2510854103
205,3,7.613743969e-08,1,7.974186028e-07,0.2513628351
206,3,7.868883425e-08,1,7.979577612e-07,0.2516405664
207,3,7.982089564e-08,1,7.985408233e-07,0.2519186046
208,3,7.920137775e-08,1,7.991716231e-07,0.25219695
209,3,7.690904805e-08,1,7.998530653e-07,0.252475603
210,3,7.329600592e-08,1,8.005870528e-07,0.2527545638
211,3,6.871743914e-08,1,8.013745936e-07,0.2530338329
212,3,6.379490595e-08,1,8.022158308e-07,0.2533134105
213,3,5.916138864e-08,1,8.031102017e-07,0.253593297
214,3,5.525619055e-08,1,8.040555872e-07,0.2538734928
215,3,5.230088576e-08,1,8.050501942e-07,0.2541539982
216,3,5.044108898e-08,1,8.060981126e-07,0.2544348135
