step,physical_time,inner_iterations,inner_residual_ratio,converged,initial_inner_residual,final_inner_residual
1,0.01,47,9.587164697e-05,1,0.117129677,1.122941504e-05
2,0.02,64,9.842144192e-05,1,0.01586596887,1.561551534e-06
3,0.03,47,9.648886195e-05,1,0.01198924196,1.156828313e-06
4,0.04,44,9.677922503e-05,1,0.0108605926,1.051079735e-06
5,0.05,45,9.401540649e-05,1,0.01028843806,9.672716861e-07
6,0.06,44,9.908153222e-05,1,0.009934272538,9.843029446e-07
7,0.07,44,9.575983026e-05,1,0.009684889423,9.274233673e-07
8,0.08,43,9.683435204e-05,1,0.009488574056,9.188199205e-07
9,0.09,42,9.665563382e-05,1,0.009323766575,9.011945679e-07
10,0.1,41,9.547754023e-05,1,0.00917641127,8.761411762e-07
11,0.11,39,9.947963608e-05,1,0.00903328383,8.986277879e-07
12,0.12,38,9.689246967e-05,1,0.00888909622,8.612864859e-07
13,0.13,36,9.966202819e-05,1,0.00874886524,8.719296542e-07
14,0.14,35,9.580926741e-05,1,0.008617599468,8.256458919e-07
15,0.15,33,9.724003515e-05,1,0.008494226671,8.259789e-07
16,0.16,31,9.810500163e-05,1,0.008375631519,8.216913438e-07
17,0.17,29,9.843859611e-05,1,0.008261196469,8.132205826e-07
18,0.18,27,9.831606705e-05,1,0.008151877353,8.014605204e-07
19,0.19,25,9.827310966e-05,1,0.008047693232,7.908718395e-07
20,0.2,24,9.284013849e-05,1,0.007947774189,7.378724564e-07
21,0.21,22,9.728239592e-05,1,0.007851763862,7.638384007e-07
22,0.22,21,9.454232115e-05,1,0.007759849467,7.336341804e-07
23,0.23,20,9.166751318e-05,1,0.007671375216,7.032158887e-07
24,0.24,19,8.948493087e-05,1,0.007584336219,6.786838023e-07
25,0.25,18,9.102311663e-05,1,0.007496651188,6.823685554e-07
26,0.26,18,8.440052028e-05,1,0.007407384942,6.25187143e-07
27,0.27,17,9.615925761e-05,1,0.007316539479,7.035530046e-07
28,0.28,17,9.411578035e-05,1,0.007224319354,6.799224535e-07
29,0.29,17,9.341353027e-05,1,0.007131025127,6.661342315e-07
30,0.3,17,9.324699622e-05,1,0.007037355645,6.562122752e-07
31,0.31,17,9.313153094e-05,1,0.006944344477,6.467374325e-07
32,0.32,17,9.2718913e-05,1,0.006852836034,6.35387508e-07
33,0.33,17,9.182358607e-05,1,0.00676302972,6.210056416e-07
34,0.34,17,9.039222045e-05,1,0.006674360202,6.033102388e-07
35,0.35,17,8.850870152e-05,1,0.006585632092,5.828857451e-07
36,0.36,17,8.632863417e-05,1,0.006495584682,5.607549537e-07
37,0.37,17,8.404740456e-05,1,0.006403974695,5.38237452e-07
38,0.38,17,8.184778164e-05,1,0.006312346946,5.166515945e-07
39,0.39,16,9.758586245e-05,1,0.006223373578,6.073132779e-07
40,0.4,16,9.53494484e-05,1,0.006138986082,5.853489367e-07
41,0.41,16,9.344785912e-05,1,0.006058996041,5.662002085e-07
42,0.42,16,9.1676413e-05,1,0.005981459088,5.483587137e-07
43,0.43,16,8.982700059e-05,1,0.005904181477,5.30354913e-07
44,0.44,16,8.777381278e-05,1,0.005825859167,5.113578718e-07
45,0.45,16,8.558016916e-05,1,0.005746159359,4.9175729e-07
46,0.46,16,8.344592097e-05,1,0.005665263881,4.727431621e-07
47,0.47,16,8.164794909e-05,1,0.00558365613,4.558940714e-07
48,0.48,16,8.037594894e-05,1,0.005502271013,4.42250254e-07
49,0.49,16,7.972588158e-05,1,0.005422524723,4.323155639e-07
50,0.5,16,7.965615069e-05,1,0.005345856635,4.258303617e-07
