step,physical_time,inner_iterations,inner_residual_ratio,converged,initial_inner_residual,final_inner_residual
79,0.79,19,9.886038379e-05,1,0.003807798588,3.764404298e-07
80,0.8,20,9.13784336e-05,1,0.003773145872,3.447841596e-07
81,0.81,20,9.305489661e-05,1,0.00373958105,3.47986328e-07
82,0.82,20,9.413034856e-05,1,0.003706791888,3.489216124e-07
83,0.83,20,9.457929468e-05,1,0.003674498939,3.475315179e-07
84,0.84,20,9.437174394e-05,1,0.003642457155,3.437450339e-07
85,0.85,20,9.357878498e-05,1,0.00361043001,3.378596536e-07
86,0.86,20,9.236150104e-05,1,0.003578220372,3.304898046e-07
87,0.87,20,9.094493344e-05,1,0.003545767227,3.224695645e-07
88,0.88,20,8.957268294e-05,1,0.003513220411,3.14688578e-07
89,0.89,19,9.977171904e-05,1,0.003480902446,3.472956208e-07
90,0.9,19,9.937283913e-05,1,0.003449162278,3.427530482e-07
91,0.91,19,9.953150024e-05,1,0.003418222749,3.402208384e-07
92,0.92,20,8.835427605e-05,1,0.003388121611,2.993550321e-07
93,0.93,20,8.876672803e-05,1,0.003358759868,2.981461237e-07
94,0.94,20,8.93307191e-05,1,0.003329990704,2.974704642e-07
95,0.95,20,9.009916819e-05,1,0.003301674038,2.974780845e-07
96,0.96,20,9.111107363e-05,1,0.00327367402,2.982679547e-07
97,0.97,20,9.245105753e-05,1,0.003245827597,3.000801939e-07
98,0.98,20,9.416985816e-05,1,0.003217922042,3.030312623e-07
99,0.99,20,9.624348279e-05,1,0.003189698302,3.069876736e-07
100,1,20,9.85435636e-05,1,0.003160875379,3.114839239e-07
101,1.01,21,9.179618904e-05,1,0.003131184799,2.874308318e-07
102,1.02,21,9.308271572e-05,1,0.003100409952,2.885945782e-07
103,1.03,21,9.401452553e-05,1,0.003068421782,2.884762179e-07
104,1.04,21,9.465430673e-05,1,0.003035194018,2.872941856e-07
105,1.05,21,9.499664539e-05,1,0.003000781744,2.850641993e-07
106,1.06,21,9.507104947e-05,1,0.00296526561,2.819109135e-07
107,1.07,21,9.494702295e-05,1,0.002928682938,2.780697261e-07
108,1.08,21,9.472744108e-05,1,0.002890976949,2.738548485e-07
109,1.09,21,9.452655353e-05,1,0.002851985667,2.695883758e-07
110,1.1,21,9.44458294e-05,1,0.002811475466,2.655321322e-07
111,1.11,21,9.456956133e-05,1,0.002769207021,2.618826932e-07
112,1.12,21,9.496342779e-05,1,0.002725008032,2.587761035e-07
113,1.13,21,9.567214061e-05,1,0.002678819889,2.562884331e-07
114,1.14,21,9.67152864e-05,1,0.002630705166,2.544294036e-07
115,1.15,21,9.809517268e-05,1,0.002580826763,2.53166647e-07
116,1.16,21,9.980311405e-05,1,0.002529417632,2.524437564e-07
117,1.17,22,9.406380244e-05,1,0.002476746713,2.329722135e-07
118,1.18,22,9.595789669e-05,1,0.002423080789,2.32513736e-07
119,1.19,22,9.801672512e-05,1,0.002368647103,2.32167032e-07
120,1.2,23,9.34921445e-05,1,0.002313618669,2.163051709e-07
121,1.21,23,9.551763678e-05,1,0.002258142097,2.156923966e-07
122,1.22,23,9.762095664e-05,1,0.002202401538,2.15000545e-07
123,1.23,23,9.987471801e-05,1,0.00214667711,2.143987711e-07
124,1.24,24,9.579610524e-05,1,0.002091351573,2.003433354e-07
