rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,630,88,0,5,"1 3 6 10 11",88,88
1,632,84,21,5,"0 2 3 6 7",82,84
2,639,73,24,4,"1 3 4 5",75,73
3,634,89,0,7,"0 1 2 4 11 13 14",91,89
4,638,94,0,7,"2 3 5 6 7 10 14",93,94
5,632,70,31,3,"2 4 7",69,70
6,622,78,0,5,"0 1 4 7 10",76,78
7,649,74,24,4,"1 4 5 6",74,74
8,643,81,0,4,"9 10 11 12",79,81
9,644,91,0,4,"8 10 12 15",93,91
10,637,113,0,8,"0 4 6 8 9 11 14 15",110,113
11,638,69,20,6,"0 3 8 10 12 13",71,69
12,629,92,0,5,"8 9 11 13 15",93,92
13,631,92,0,5,"3 11 12 14 15",93,92
14,632,86,0,5,"3 4 10 13 15",85,86
15,655,84,0,5,"9 10 12 13 14",86,84
