rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,2537,127,198,2,[],[],[]
1,2541,159,158,3,[],[],[]
2,2555,148,198,2,[],[],[]
3,2552,118,206,3,[],[],[]
