rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,2597,105,59,3,1;3;7,105,105
1,2585,97,71,2,0;3,96,97
2,2675,53,80,3,3;4;7,53,53
3,2587,152,39,6,0;1;2;4;5;7,153,152
4,2592,131,50,5,2;3;5;6;7,131,131
5,2595,99,59,2,3;4,99,99
6,2590,88,70,2,4;7,88,88
7,2595,120,56,5,0;2;3;4;6,120,120
