rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,3401,95,0,2,"[1;2]",92,95
1,3392,139,68,2,"[0;2]",140,139
2,3392,161,52,2,"[0;1]",163,161
