rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,2626,136,47,6,"1 2 3 5 6 7",136,136
1,2631,93,66,2,"0 7",93,93
2,2593,104,58,3,"0 3 5",105,104
3,2552,87,76,2,"0 2",86,87
4,2578,99,63,2,"5 7",99,99
5,2578,102,64,4,"0 2 4 7",102,102
6,2642,62,80,2,"0 7",62,62
7,2616,188,30,5,"0 1 4 5 6",188,188
